ptr,type,size,name,desc,value,parent
18558c82890,function,48,[2],array item,C function,18558c83390
18558c831d0,table,0,<upvalue 1>,upvalue 1: ,(null),18558c82890
18558c829e0,function,48,[3],array item,C function,18558c83390
18558c831d0,table,0,<upvalue 1>,upvalue 1: ,(null),18558c829e0
18558c82cf0,function,48,[4],array item,C function,18558c83390
18558c831d0,table,0,<upvalue 1>,upvalue 1: ,(null),18558c82cf0
18558c823d0,string,32,<key>,key,loadlib,18558c831d0
18558c81ef0,string,35,<key>,key,searchpath,18558c831d0
18558c820d0,string,31,<key>,key,config,18558c831d0
18558c81830,string,35,config,value,\;?!-,18558c831d0
18558c82430,string,30,<key>,key,error,18558c74c10
18558c81d70,string,33,<key>,key,rawequal,18558c74c10
18558c825b0,string,33,<key>,key,_VERSION,18558c74c10
18558c822b0,string,32,_VERSION,value,Lua 5.3,18558c74c10
18558c81e90,string,30,<key>,key,print,18558c74c10
18558c82550,string,33,<key>,key,tonumber,18558c74c10
18558c875c0,string,0,<key>,key,(null),18558c74c10
18558c855d0,table,0,math,value,(null),18558c74c10
18558c82900,string,39,<key>,key,collectgarbage,18558c74c10
18558c84100,string,0,<key>,key,(null),18558c74c10
18558c83150,table,0,table,value,(null),18558c74c10
18558c82310,string,31,<key>,key,dofile,18558c74c10
18558c82970,string,0,<key>,key,(null),18558c74c10
18558c894b0,string,28,<key>,key,arg,18558c74c10
18558c859d0,table,120,arg,value,(null),18558c74c10
18558c83c60,string,80,[0],value,test.lua,18558c859d0
18558c80650,string,91,[-1],value,lua.exe,18558c859d0
18558c8ca70,string,27,<key>,key,co,18558c74c10
18558c8c4c8,thread,1104,co,value,(null),18558c74c10
18558c85950,table,120,l1,local variable 1: l1 @ test.lua:44,(null),18558c8c4c8
18558c8cfb0,string,26,<key>,key,a,18558c85950
18558c8ce90,string,28,a,value,aaa,18558c85950
18558c8d0d0,string,26,<key>,key,b,18558c85950
18558c85a50,table,120,b,value,(null),18558c85950
18558c8d310,string,27,<key>,key,g2,18558c85a50
18558c86350,table,120,g2,value,(null),18558c85a50
18558c88d30,string,26,<key>,key,g,18558c86350
18558c85c50,table,0,g,value,(null),18558c86350
18558c88d90,string,26,<key>,key,f,18558c86350
18558c8d250,function,32,f,value,lua function @ test.lua:12,18558c86350
18558c8cad0,string,27,<key>,key,g1,18558c85a50
18558c85c50,table,0,g1,value,(null),18558c85a50
18558c85a50,table,0,l2,local variable 2: l2 @ test.lua:44,(null),18558c8c4c8
18558c82f90,function,48,l3,local variable 3: l3 @ test.lua:44,lua function @ test.lua:25,18558c8c4c8
18558c74c10,table,0,_ENV,upvalue 1: _ENV,(null),18558c82f90
18558c8ce90,string,0,t,upvalue 2: t,(null),18558c82f90
18558c88c10,string,32,<key>,key,global2,18558c74c10
18558c86350,table,0,global2,value,(null),18558c74c10
18558c88c70,string,0,<key>,key,(null),18558c74c10
18558c86250,table,0,debug,value,(null),18558c74c10
18558c81890,string,33,<key>,key,loadfile,18558c74c10
18558c81c50,string,30,<key>,key,pairs,18558c74c10
18558c84700,string,0,<key>,key,(null),18558c74c10
18558c852c0,table,0,io,value,(null),18558c74c10
18558c821f0,string,31,<key>,key,rawget,18558c74c10
18558c84760,string,0,<key>,key,(null),18558c74c10
18558c85750,table,0,os,value,(null),18558c74c10
18558c88040,string,0,<key>,key,(null),18558c74c10
18558c85b50,table,0,string,value,(null),18558c74c10
18558c81b30,string,33,<key>,key,tostring,18558c74c10
18558c82610,string,30,<key>,key,pcall,18558c74c10
18558c81cb0,string,0,<key>,key,(null),18558c74c10
18558c81d10,string,31,<key>,key,xpcall,18558c74c10
18558c819b0,string,32,<key>,key,require,18558c74c10
18558c82ac0,function,48,require,value,C function,18558c74c10
18558c831d0,table,0,<upvalue 1>,upvalue 1: ,(null),18558c82ac0
18558c81fb0,string,0,<key>,key,(null),18558c74c10
18558c74c10,table,0,_G,value,(null),18558c74c10
18558c82010,string,31,<key>,key,rawlen,18558c74c10
18558c89870,string,0,<key>,key,(null),18558c74c10
18558c861d0,table,0,utf8,value,(null),18558c74c10
18558c82c80,string,0,<key>,key,(null),18558c74c10
18558c84ca0,string,0,<key>,key,(null),18558c7aef0
18558c864d0,table,0,FILE*,value,(null),18558c7aef0
18558c84f40,string,35,<key>,key,_IO_output,18558c7aef0
18558c857d0,userdata,0,_IO_output,value,(null),18558c7aef0
18558c81950,string,33,<key>,key,_PRELOAD,18558c7aef0
18558c83490,table,0,_PRELOAD,value,(null),18558c7aef0
18558c84640,string,34,<key>,key,_IO_input,18558c7aef0
18558c856d0,userdata,0,_IO_input,value,(null),18558c7aef0
18558c83050,table,56,[userdata:00007FF6F3D95520],value,(null),18558c7aef0
18558c830d0,table,88,__metatable,metatable,(null),18558c83050
18558c79780,string,0,<key>,key,(null),18558c830d0
18558c81a70,string,32,<key>,key,_LOADED,18558c7aef0
18558c82730,table,0,_LOADED,value,(null),18558c7aef0
18558c85dd0,function,64,(null),(null),lua function @ test.lua:37,0
18558c85950,table,0,t1,upvalue 1: t1,(null),18558c85dd0
18558c85a50,table,0,t2,upvalue 2: t2,(null),18558c85dd0
18558c82f20,function,40,f2,upvalue 3: f2,lua function @ test.lua:23,18558c85dd0
18558c74c10,table,0,_ENV,upvalue 1: _ENV,(null),18558c82f20
18558c74c10,table,0,_ENV,upvalue 4: _ENV,(null),18558c85dd0
18558c8c9b0,string,26,(null),(null),3,0
18558c8cef0,string,26,(null),(null),2,0
18558c8d490,string,26,(null),(null),1,0
18558c8ce30,string,27,(null),(null),l3,0
18558c8d4f0,string,27,(null),(null),l2,0
18558c8d2b0,string,27,(null),(null),l1,0
18558c837e0,proto,512,(null),(null),proto @ @test.lua:37,0
18558c8cb90,string,27,(null),(null),t2,0
18558c8cc50,string,27,(null),(null),t1,0
18558c8c040,proto,200,(null),(null),proto @ @test.lua:25,0
18558c8c950,string,26,(null),(null),t,0
18558c8d430,string,26,(null),(null),v,0
18558c8bf80,proto,208,(null),(null),proto @ @test.lua:23,0
18558c8c650,string,27,(null),(null),f2,0
18558c890f0,string,36,(null),(null),local value,0
18558c89030,string,26,(null),(null),s,0
18558c8c100,proto,176,(null),(null),proto @ @test.lua:12,0
18558c83750,string,81,(null),(null),@test.lua,0
18558c86050,table,88,(null),(null),(null),0
18558c79720,string,0,<key>,key,(null),18558c86050
18558c85b50,table,0,__index,value,(null),18558c86050
18558c80a00,string,30,(null),(null),while,0
18558c80820,string,30,(null),(null),until,0
18558c814e0,string,29,(null),(null),true,0
18558c81480,string,29,(null),(null),then,0
18558c80e80,string,31,(null),(null),return,0
18558c812a0,string,31,(null),(null),repeat,0
18558c80f40,string,27,(null),(null),or,0
18558c810c0,string,28,(null),(null),not,0
18558c80d60,string,28,(null),(null),nil,0
18558c80ca0,string,30,(null),(null),local,0
18558c81060,string,27,(null),(null),in,0
18558c811e0,string,27,(null),(null),if,0
18558c81660,string,29,(null),(null),goto,0
18558c80c40,string,33,(null),(null),function,0
18558c809a0,string,28,(null),(null),for,0
18558c80fa0,string,30,(null),(null),false,0
18558c80940,string,28,(null),(null),end,0
18558c80be0,string,31,(null),(null),elseif,0
18558c80b80,string,29,(null),(null),else,0
18558c81600,string,27,(null),(null),do,0
18558c808e0,string,30,(null),(null),break,0
18558c80dc0,string,28,(null),(null),and,0
18558c80ee0,string,29,(null),(null),_ENV,0
18558c813c0,string,31,(null),(null),__call,0
18558c80e20,string,33,(null),(null),__concat,0
18558c80b20,string,29,(null),(null),__le,0
18558c80760,string,29,(null),(null),__lt,0
18558c81300,string,31,(null),(null),__bnot,0
18558c80ac0,string,30,(null),(null),__unm,0
18558c81420,string,30,(null),(null),__shr,0
18558c815a0,string,30,(null),(null),__shl,0
18558c81360,string,31,(null),(null),__bxor,0
18558c80d00,string,30,(null),(null),__bor,0
18558c81180,string,31,(null),(null),__band,0
18558c81240,string,31,(null),(null),__idiv,0
18558c80880,string,30,(null),(null),__div,0
18558c81540,string,30,(null),(null),__pow,0
18558c81000,string,30,(null),(null),__mod,0
18558c81120,string,30,(null),(null),__mul,0
18558c80a60,string,30,(null),(null),__sub,0
18558c807c0,string,30,(null),(null),__add,0
18558c799c0,string,29,(null),(null),__eq,0
18558c79960,string,30,(null),(null),__len,0
18558c79900,string,31,(null),(null),__mode,0
18558c79a80,string,35,(null),(null),__newindex,0
18558c74c90,string,42,(null),(null),not enough memory,0
